Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
61,Los Angeles County Seeks Proposals for New Election Management System,https://www.techwire.net/news/los-angeles-county-seeks-proposals-for-new-election-management-system,https://www.pollchief.com/,PollChief,18,48,false,false,false,true,false,false,false,false,2021-08-23,2022-08-19,false,true
47,"Konnech, Inc. - Election Service Software Provider",http://www.konnech.com/,http://www.pollchief.com/,,13,13,false,false,false,true,false,false,false,true,2021-07-26,2022-07-13,false,true
47,"Konnech, Inc. - Election Service Software Provider",http://www.konnech.com/,http://www.pollchief.com/,POLLCHIEF,13,13,false,false,false,true,false,false,false,true,2021-07-26,2022-07-13,false,true
47,"Konnech, Inc. - Election Service Software Provider",http://www.konnech.com/,http://www.pollchief.com/Candidate%20Nomination%20System%20(PCNS).html,Candidate Nomination,13,13,false,false,false,true,false,false,false,false,2021-07-26,2022-07-13,false,true
47,"Konnech, Inc. - Election Service Software Provider",http://www.konnech.com/,http://www.pollchief.com/Candidate%20Nomination%20System%20(PCNS).html,,13,13,false,false,false,false,false,false,true,false,2021-07-26,2022-07-13,false,true
47,Los Angeles County Seeks Proposals for New Election Management System,https://insider.govtech.com/california/news/los-angeles-county-seeks-proposals-for-new-election-management-system,https://www.pollchief.com/,PollChief,17,51,false,false,false,true,false,false,false,false,2022-07-01,2022-08-19,false,false
47,Elections Division | Allegheny County,https://www.alleghenycounty.us/elections/index.aspx,https://alleghenypwp.pollchief.com/worker-portal/Application,Apply Online,59,2565,false,false,false,true,false,false,false,false,2022-08-15,2022-09-10,true,false
33,poll worker login - official login page,https://loginpublisher.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/Login.aspx,Visit site,10,204,true,false,false,true,false,false,false,false,2021-08-16,2022-06-16,false,true
33,poll worker login - official login page,https://loginpublisher.com/post/poll-worker-login,https://indy.pollchief.com/pollaccess/,Visit site,10,204,true,false,false,true,false,false,false,false,2021-08-16,2022-06-16,false,true
26,Home - Signature Verification Software - iPetitioner.Com,http://www.ipetitioner.com/,http://pollchief.com/OnlineDemo.aspx,Demo,4,11,false,false,false,true,false,false,false,true,2022-03-30,2022-09-11,false,false
